model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
naive_bayes,random,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,5.752,0.001,0.672,0.666,0.753,0.75,0.739,1e-06,original,10,6,,,,
knn,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,7.364,0.001,0.756,0.72,0.781,0.769,0.827,2.7e-05,original,10,6,,,,
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,5.732,0.031,0.659,0.64,0.723,0.711,0.805,4e-06,original,10,6,598.6575767993927,0,3.4200431115064776e-07,0.001363515853881836
rf,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,15.411,0.096,0.756,0.738,0.802,0.796,0.859,3e-06,original,10,6,598.6575767993927,0,3.4200431115064776e-07,0.001363515853881836
svc,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,3.854,0.001,0.757,0.676,0.726,0.705,0.834,4e-06,original,10,6,598.6575767993927,0,3.4200431115064776e-07,0.001363515853881836
logreg,k-means,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,7.23,0.007,0.784,0.709,0.758,0.74,0.868,9e-06,original,10,6,598.6575767993927,0,3.4200431115064776e-07,0.001363515853881836
mlp,k-means,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,5.491,0.763,0.766,0.683,0.731,0.71,0.862,1.4e-05,original,10,6,598.6575767993927,0,3.4200431115064776e-07,0.001363515853881836
naive_bayes,k-means,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,5.769,0.001,0.715,0.695,0.768,0.76,0.78,1e-06,original,10,6,598.6575767993927,0,3.4200431115064776e-07,0.001363515853881836
knn,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,7.243,0.001,0.759,0.663,0.708,0.685,0.841,2.8e-05,original,10,6,598.6575767993927,0,3.4200431115064776e-07,0.001363515853881836
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.839,0.027,0.64,0.651,0.756,0.768,0.738,5e-06,latent,10,6,598.6575767993927,0,3.4200431115064776e-07,0.001363515853881836
rf,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,18.752,0.456,0.707,0.634,0.689,0.664,0.771,9e-06,latent,10,6,598.6575767993927,0,3.4200431115064776e-07,0.001363515853881836
svc,k-means,0.7,0.653,0.653,0.7,0.1,0.16,0.16,0.1,4.95,0.001,0.77,0.687,0.735,0.714,0.866,3e-06,latent,10,6,598.6575767993927,0,3.4200431115064776e-07,0.001363515853881836
logreg,k-means,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,7.061,0.007,0.784,0.723,0.775,0.759,0.872,0.0,latent,10,6,598.6575767993927,0,3.4200431115064776e-07,0.001363515853881836
mlp,k-means,0.65,0.607,0.607,0.65,0.122,0.164,0.164,0.122,6.595,0.022,0.782,0.74,0.796,0.784,0.868,2.5e-05,latent,10,6,598.6575767993927,0,3.4200431115064776e-07,0.001363515853881836
naive_bayes,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.273,0.001,0.682,0.673,0.757,0.751,0.765,1e-06,latent,10,6,598.6575767993927,0,3.4200431115064776e-07,0.001363515853881836
knn,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,7.617,0.001,0.753,0.678,0.729,0.708,0.821,8e-06,latent,10,6,598.6575767993927,0,3.4200431115064776e-07,0.001363515853881836
xgb,k-center,0.7,0.66,0.66,0.7,0.187,0.227,0.227,0.187,7.429,0.023,0.659,0.644,0.73,0.72,0.734,5e-06,original,10,6,598.6575767993927,0,3.4200431115064776e-07,0.0013554096221923828
rf,k-center,0.45,0.38,0.38,0.45,0.245,0.24,0.24,0.245,18.68,0.428,0.657,0.567,0.614,0.586,0.739,8e-06,original,10,6,598.6575767993927,0,3.4200431115064776e-07,0.0013554096221923828
svc,k-center,0.55,0.447,0.447,0.55,0.1,0.157,0.157,0.1,5.927,0.002,0.51,0.452,0.668,0.765,0.162,3e-06,original,10,6,598.6575767993927,0,3.4200431115064776e-07,0.0013554096221923828
logreg,k-center,0.55,0.467,0.467,0.55,0.187,0.223,0.223,0.187,6.945,0.008,0.666,0.691,0.793,0.814,0.846,8e-06,original,10,6,598.6575767993927,0,3.4200431115064776e-07,0.0013554096221923828
mlp,k-center,0.55,0.467,0.467,0.55,0.187,0.223,0.223,0.187,7.775,1.697,0.769,0.7,0.751,0.732,0.856,1.1e-05,original,10,6,598.6575767993927,0,3.4200431115064776e-07,0.0013554096221923828
naive_bayes,k-center,0.65,0.607,0.607,0.65,0.122,0.164,0.164,0.122,6.275,0.001,0.692,0.574,0.609,0.584,0.695,1e-06,original,10,6,598.6575767993927,0,3.4200431115064776e-07,0.0013554096221923828
knn,k-center,0.55,0.447,0.447,0.55,0.1,0.157,0.157,0.1,5.56,0.001,0.668,0.677,0.771,0.777,0.776,2e-05,original,10,6,598.6575767993927,0,3.4200431115064776e-07,0.0013554096221923828
xgb,k-center,0.6,0.527,0.527,0.6,0.122,0.179,0.179,0.122,6.939,0.026,0.648,0.547,0.587,0.56,0.721,4e-06,latent,10,6,598.6575767993927,0,3.4200431115064776e-07,0.0013554096221923828
rf,k-center,0.55,0.5,0.5,0.55,0.187,0.213,0.213,0.187,17.904,0.465,0.704,0.566,0.591,0.571,0.823,1e-05,latent,10,6,598.6575767993927,0,3.4200431115064776e-07,0.0013554096221923828
svc,k-center,0.5,0.333,0.333,0.5,0.0,0.0,0.0,0.0,5.211,0.001,0.598,0.575,0.663,0.642,0.496,2e-06,latent,10,6,598.6575767993927,0,3.4200431115064776e-07,0.0013554096221923828
logreg,k-center,0.55,0.467,0.467,0.55,0.187,0.223,0.223,0.187,7.206,0.007,0.727,0.627,0.67,0.645,0.824,0.0,latent,10,6,598.6575767993927,0,3.4200431115064776e-07,0.0013554096221923828
mlp,k-center,0.4,0.267,0.267,0.4,0.2,0.133,0.133,0.2,8.029,0.02,0.735,0.649,0.697,0.673,0.83,8e-06,latent,10,6,598.6575767993927,0,3.4200431115064776e-07,0.0013554096221923828
naive_bayes,k-center,0.65,0.547,0.547,0.65,0.2,0.275,0.275,0.2,6.289,0.001,0.726,0.621,0.663,0.638,0.81,1e-06,latent,10,6,598.6575767993927,0,3.4200431115064776e-07,0.0013554096221923828
knn,k-center,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,3.373,0.001,0.646,0.522,0.549,0.528,0.703,8e-06,latent,10,6,598.6575767993927,0,3.4200431115064776e-07,0.0013554096221923828
xgb,ag,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.57,0.092,0.667,0.66,0.747,0.742,0.79,4e-06,original,10,6,598.6575767993927,0,3.4200431115064776e-07,0.0013625621795654297
rf,ag,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,13.022,0.191,0.745,0.738,0.807,0.804,0.84,4e-06,original,10,6,598.6575767993927,0,3.4200431115064776e-07,0.0013625621795654297
svc,ag,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,7.221,0.001,0.774,0.714,0.768,0.751,0.854,3e-06,original,10,6,598.6575767993927,0,3.4200431115064776e-07,0.0013625621795654297
logreg,ag,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,7.448,0.005,0.764,0.754,0.817,0.814,0.868,7e-06,original,10,6,598.6575767993927,0,3.4200431115064776e-07,0.0013625621795654297
mlp,ag,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,5.275,2.009,0.77,0.706,0.759,0.742,0.852,9e-06,original,10,6,598.6575767993927,0,3.4200431115064776e-07,0.0013625621795654297
naive_bayes,ag,0.65,0.633,0.633,0.65,0.255,0.268,0.268,0.255,7.083,0.001,0.708,0.642,0.7,0.676,0.717,1e-06,original,10,6,598.6575767993927,0,3.4200431115064776e-07,0.0013625621795654297
knn,ag,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,5.819,0.001,0.743,0.646,0.691,0.667,0.816,6e-06,original,10,6,598.6575767993927,0,3.4200431115064776e-07,0.0013625621795654297
xgb,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,4.367,0.038,0.636,0.65,0.76,0.777,0.78,2e-06,latent,10,6,598.6575767993927,0,3.4200431115064776e-07,0.0013625621795654297
rf,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,16.436,0.44,0.758,0.726,0.787,0.777,0.846,9e-06,latent,10,6,598.6575767993927,0,3.4200431115064776e-07,0.0013625621795654297
svc,ag,0.75,0.733,0.733,0.75,0.274,0.292,0.292,0.274,7.206,0.001,0.769,0.681,0.728,0.707,0.228,3e-06,latent,10,6,598.6575767993927,0,3.4200431115064776e-07,0.0013625621795654297
logreg,ag,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,7.704,0.007,0.79,0.736,0.788,0.774,0.871,0.0,latent,10,6,598.6575767993927,0,3.4200431115064776e-07,0.0013625621795654297
mlp,ag,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,7.493,0.032,0.786,0.736,0.79,0.776,0.866,9e-06,latent,10,6,598.6575767993927,0,3.4200431115064776e-07,0.0013625621795654297
naive_bayes,ag,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,6.352,0.001,0.692,0.638,0.702,0.679,0.723,1e-06,latent,10,6,598.6575767993927,0,3.4200431115064776e-07,0.0013625621795654297
knn,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.3,0.001,0.763,0.695,0.748,0.729,0.837,3.4e-05,latent,10,6,598.6575767993927,0,3.4200431115064776e-07,0.0013625621795654297
xgb,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,7.542,0.029,0.662,0.592,0.649,0.621,0.777,3e-06,original,10,7,,,,
rf,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,17.016,0.463,0.738,0.695,0.757,0.741,0.832,1.4e-05,original,10,7,,,,
svc,random,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,2.511,0.002,0.685,0.689,0.776,0.778,0.349,3e-06,original,10,7,,,,
