model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.499,0.035,0.418,0.193,0.122,0.216,0.196,4e-06,original,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0017161369323730469,22.270209789276123
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15.863,0.296,0.235,0.24,0.311,0.264,0.14,6e-06,original,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0017161369323730469,22.270209789276123
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.581,0.002,0.227,0.186,0.204,0.187,0.133,3e-06,original,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0017161369323730469,22.270209789276123
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.635,0.006,0.289,0.175,0.148,0.178,0.136,5e-06,original,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0017161369323730469,22.270209789276123
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.322,1.272,0.214,0.197,0.235,0.203,0.128,1.5e-05,original,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0017161369323730469,22.270209789276123
naive_bayes,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.748,0.001,0.269,0.292,0.425,0.383,0.22,1e-06,original,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0017161369323730469,22.270209789276123
knn,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.995,0.001,0.225,0.239,0.32,0.271,0.163,3e-05,original,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0017161369323730469,22.270209789276123
xgb,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,4.741,0.113,0.296,0.242,0.263,0.244,0.194,3e-06,latent,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0017161369323730469,22.270209789276123
rf,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,17.598,0.4,0.231,0.225,0.28,0.239,0.149,8e-06,latent,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0017161369323730469,22.270209789276123
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.807,0.001,0.27,0.168,0.146,0.17,0.153,4e-06,latent,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0017161369323730469,22.270209789276123
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.348,0.006,0.272,0.17,0.148,0.172,0.132,6e-06,latent,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0017161369323730469,22.270209789276123
mlp,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,9.906,0.049,0.228,0.225,0.282,0.241,0.143,2.5e-05,latent,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0017161369323730469,22.270209789276123
naive_bayes,lc,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,4.87,0.001,0.288,0.2,0.193,0.2,0.221,1e-06,latent,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0017161369323730469,22.270209789276123
knn,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.928,0.001,0.239,0.191,0.204,0.191,0.172,2.5e-05,latent,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0017161369323730469,22.270209789276123
xgb,random,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,8.864,6.638,0.691,0.705,0.793,0.801,0.844,4e-06,original,10,6,,,,,
rf,random,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,18.686,0.354,0.763,0.695,0.747,0.728,0.853,6e-06,original,10,6,,,,,
svc,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,4.832,0.002,0.76,0.724,0.785,0.774,0.847,2e-06,original,10,6,,,,,
logreg,random,0.85,0.847,0.847,0.85,0.2,0.202,0.202,0.2,8.138,0.008,0.747,0.704,0.765,0.751,0.822,6e-06,original,10,6,,,,,
mlp,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,9.058,2.445,0.752,0.724,0.787,0.777,0.842,1.3e-05,original,10,6,,,,,
naive_bayes,random,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,4.632,0.001,0.672,0.666,0.753,0.75,0.739,1e-06,original,10,6,,,,,
knn,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,6.963,0.001,0.756,0.72,0.781,0.769,0.827,2.8e-05,original,10,6,,,,,
xgb,k-means,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,7.151,0.435,0.762,0.721,0.78,0.767,0.85,6e-06,original,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0016891956329345703,0.32297754287719727
rf,k-means,0.9,0.9,0.9,0.9,0.2,0.2,0.2,0.2,17.995,0.483,0.768,0.725,0.782,0.769,0.847,1.2e-05,original,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0016891956329345703,0.32297754287719727
svc,k-means,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,9.244,0.002,0.8,0.747,0.798,0.785,0.876,3e-06,original,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0016891956329345703,0.32297754287719727
logreg,k-means,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,8.471,0.008,0.748,0.755,0.824,0.827,0.878,7e-06,original,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0016891956329345703,0.32297754287719727
mlp,k-means,0.7,0.627,0.627,0.7,0.187,0.259,0.259,0.187,4.579,1.067,0.789,0.73,0.782,0.766,0.874,1.8e-05,original,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0016891956329345703,0.32297754287719727
naive_bayes,k-means,0.7,0.66,0.66,0.7,0.187,0.227,0.227,0.187,6.326,0.001,0.74,0.745,0.816,0.817,0.781,3e-06,original,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0016891956329345703,0.32297754287719727
knn,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,7.284,0.001,0.772,0.706,0.759,0.741,0.835,1.2e-05,original,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0016891956329345703,0.32297754287719727
xgb,k-means,0.85,0.847,0.847,0.85,0.2,0.202,0.202,0.2,5.714,0.199,0.683,0.672,0.754,0.747,0.763,5e-06,latent,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0016891956329345703,0.32297754287719727
rf,k-means,0.9,0.9,0.9,0.9,0.2,0.2,0.2,0.2,17.822,0.508,0.73,0.726,0.799,0.798,0.844,1.3e-05,latent,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0016891956329345703,0.32297754287719727
svc,k-means,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,2.804,0.002,0.757,0.648,0.689,0.665,0.133,6e-06,latent,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0016891956329345703,0.32297754287719727
logreg,k-means,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,3.179,0.009,0.739,0.682,0.741,0.722,0.803,1.2e-05,latent,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0016891956329345703,0.32297754287719727
mlp,k-means,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,7.915,0.036,0.79,0.719,0.769,0.751,0.875,2.2e-05,latent,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0016891956329345703,0.32297754287719727
naive_bayes,k-means,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,5.092,0.001,0.648,0.643,0.736,0.732,0.709,2e-06,latent,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0016891956329345703,0.32297754287719727
knn,k-means,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,9.178,0.001,0.753,0.726,0.789,0.779,0.833,1.8e-05,latent,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0016891956329345703,0.32297754287719727
xgb,k-center,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,8.203,0.164,0.671,0.649,0.729,0.716,0.671,5e-06,original,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0017321109771728516,0.10132479667663574
rf,k-center,0.65,0.607,0.607,0.65,0.122,0.164,0.164,0.122,18.408,0.411,0.674,0.611,0.672,0.646,0.733,9e-06,original,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0017321109771728516,0.10132479667663574
svc,k-center,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,5.921,0.002,0.678,0.67,0.755,0.75,0.76,3e-06,original,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0017321109771728516,0.10132479667663574
logreg,k-center,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,7.543,0.116,0.687,0.64,0.707,0.686,0.748,6e-06,original,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0017321109771728516,0.10132479667663574
mlp,k-center,0.65,0.647,0.647,0.65,0.2,0.198,0.198,0.2,10.744,2.478,0.699,0.644,0.706,0.684,0.771,2.3e-05,original,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0017321109771728516,0.10132479667663574
naive_bayes,k-center,0.55,0.5,0.5,0.55,0.187,0.213,0.213,0.187,4.562,0.001,0.682,0.606,0.66,0.633,0.682,2e-06,original,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0017321109771728516,0.10132479667663574
knn,k-center,0.55,0.413,0.413,0.55,0.1,0.16,0.16,0.1,5.241,0.001,0.526,0.491,0.687,0.767,0.558,3.4e-05,original,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0017321109771728516,0.10132479667663574
xgb,k-center,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,5.547,0.114,0.639,0.581,0.644,0.616,0.693,4e-06,latent,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0017321109771728516,0.10132479667663574
rf,k-center,0.7,0.66,0.66,0.7,0.187,0.227,0.227,0.187,17.455,0.558,0.602,0.504,0.541,0.514,0.678,1.6e-05,latent,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0017321109771728516,0.10132479667663574
svc,k-center,0.65,0.633,0.633,0.65,0.255,0.268,0.268,0.255,8.818,0.002,0.516,0.465,0.675,0.768,0.266,4e-06,latent,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0017321109771728516,0.10132479667663574
logreg,k-center,0.65,0.64,0.64,0.65,0.122,0.114,0.114,0.122,8.509,0.007,0.685,0.657,0.732,0.717,0.745,8e-06,latent,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0017321109771728516,0.10132479667663574
mlp,k-center,0.55,0.513,0.513,0.55,0.1,0.128,0.128,0.1,6.099,0.054,0.682,0.658,0.735,0.721,0.742,2.6e-05,latent,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0017321109771728516,0.10132479667663574
naive_bayes,k-center,0.5,0.453,0.453,0.5,0.158,0.18,0.18,0.158,7.583,0.001,0.615,0.481,0.5,0.484,0.727,2e-06,latent,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0017321109771728516,0.10132479667663574
knn,k-center,0.65,0.633,0.633,0.65,0.255,0.268,0.268,0.255,8.794,0.001,0.626,0.564,0.624,0.595,0.652,6e-06,latent,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0017321109771728516,0.10132479667663574
xgb,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,5.31,0.042,0.672,0.655,0.737,0.726,0.787,5e-06,original,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0014629364013671875,149.69760394096375
rf,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,20.946,0.47,0.769,0.707,0.761,0.743,0.85,1.4e-05,original,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0014629364013671875,149.69760394096375
svc,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,4.69,0.002,0.77,0.694,0.744,0.724,0.854,3e-06,original,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0014629364013671875,149.69760394096375
logreg,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.702,0.008,0.699,0.616,0.667,0.641,0.802,7e-06,original,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0014629364013671875,149.69760394096375
mlp,ag,0.75,0.68,0.68,0.75,0.224,0.299,0.299,0.224,6.587,2.588,0.749,0.658,0.704,0.681,0.849,1.3e-05,original,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0014629364013671875,149.69760394096375
