model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
rf,ag,0.981,0.981,0.981,0.981,0.018,0.018,0.018,0.018,8.896,0.358,0.616,0.633,0.759,0.793,0.808,9e-06,latent,0.01,5,0,0,0,0.0013339519500732422
svc,ag,0.833,0.832,0.832,0.833,0.043,0.044,0.044,0.043,3.309,0.015,0.754,0.712,0.773,0.759,0.836,1.4e-05,latent,0.01,5,0,0,0,0.0013339519500732422
logreg,ag,0.943,0.943,0.943,0.943,0.019,0.019,0.019,0.019,4.893,0.127,0.707,0.685,0.759,0.748,0.804,0.0,latent,0.01,5,0,0,0,0.0013339519500732422
mlp,ag,0.781,0.78,0.78,0.781,0.038,0.038,0.038,0.038,5.207,11.964,0.774,0.739,0.797,0.787,0.863,1.7e-05,latent,0.01,5,0,0,0,0.0013339519500732422
naive_bayes,ag,0.952,0.952,0.952,0.952,0.021,0.021,0.021,0.021,3.571,0.001,0.644,0.661,0.769,0.786,0.784,1e-06,latent,0.01,5,0,0,0,0.0013339519500732422
knn,ag,0.8,0.799,0.799,0.8,0.068,0.068,0.068,0.068,5.143,0.001,0.79,0.716,0.764,0.746,0.866,9.1e-05,latent,0.01,5,0,0,0,0.0013339519500732422
xgb,lc,0.976,0.976,0.976,0.976,0.03,0.03,0.03,0.03,5.063,1.063,0.221,0.192,0.221,0.196,0.126,5e-06,original,0.01,5,0,0,0,0.007781267166137695
rf,lc,0.976,0.976,0.976,0.976,0.021,0.021,0.021,0.021,8.754,0.32,0.242,0.241,0.306,0.262,0.143,1.2e-05,original,0.01,5,0,0,0,0.007781267166137695
svc,lc,0.99,0.99,0.99,0.99,0.019,0.019,0.019,0.019,3.12,0.01,0.203,0.193,0.236,0.201,0.119,1.1e-05,original,0.01,5,0,0,0,0.007781267166137695
logreg,lc,0.99,0.99,0.99,0.99,0.019,0.019,0.019,0.019,2.348,0.007,0.199,0.193,0.24,0.203,0.12,1.2e-05,original,0.01,5,0,0,0,0.007781267166137695
mlp,lc,0.99,0.99,0.99,0.99,0.019,0.019,0.019,0.019,6.506,12.527,0.203,0.189,0.228,0.196,0.122,2.7e-05,original,0.01,5,0,0,0,0.007781267166137695
naive_bayes,lc,0.929,0.927,0.927,0.929,0.058,0.06,0.06,0.058,3.818,0.001,0.284,0.252,0.291,0.259,0.247,1e-06,original,0.01,5,0,0,0,0.007781267166137695
knn,lc,0.971,0.971,0.971,0.971,0.028,0.028,0.028,0.028,5.801,0.001,0.224,0.241,0.328,0.277,0.159,1.5e-05,original,0.01,5,0,0,0,0.007781267166137695
xgb,lc,0.976,0.976,0.976,0.976,0.03,0.03,0.03,0.03,7.891,42.705,0.228,0.239,0.317,0.268,0.136,4e-06,latent,0.01,5,0,0,0,0.007781267166137695
rf,lc,0.981,0.981,0.981,0.981,0.023,0.023,0.023,0.023,8.453,0.351,0.237,0.245,0.321,0.273,0.139,9e-06,latent,0.01,5,0,0,0,0.007781267166137695
svc,lc,0.99,0.99,0.99,0.99,0.019,0.019,0.019,0.019,4.928,0.01,0.219,0.213,0.264,0.225,0.132,8e-06,latent,0.01,5,0,0,0,0.007781267166137695
logreg,lc,0.99,0.99,0.99,0.99,0.019,0.019,0.019,0.019,3.937,0.114,0.213,0.216,0.279,0.235,0.128,0.0,latent,0.01,5,0,0,0,0.007781267166137695
mlp,lc,0.986,0.986,0.986,0.986,0.019,0.019,0.019,0.019,4.595,0.359,0.21,0.209,0.264,0.223,0.125,1.8e-05,latent,0.01,5,0,0,0,0.007781267166137695
naive_bayes,lc,0.976,0.976,0.976,0.976,0.021,0.021,0.021,0.021,2.737,0.001,0.243,0.224,0.267,0.233,0.18,1e-06,latent,0.01,5,0,0,0,0.007781267166137695
knn,lc,0.981,0.981,0.981,0.981,0.028,0.028,0.028,0.028,3.642,0.001,0.228,0.247,0.34,0.289,0.166,1.5e-05,latent,0.01,5,0,0,0,0.007781267166137695
xgb,craig,0.568,0.555,0.573,0.59,0.04,0.05,0.043,0.023,3.471,0.557,0.453,0.305,0.288,0.306,0.431,6e-06,original,0.01,5,0,0,0,0.002858877182006836
rf,craig,0.603,0.599,0.612,0.619,0.134,0.132,0.129,0.124,12.073,0.485,0.421,0.319,0.328,0.32,0.41,1.8e-05,original,0.01,5,0,0,0,0.002858877182006836
svc,craig,0.541,0.531,0.549,0.562,0.081,0.087,0.081,0.07,2.678,0.01,0.414,0.291,0.284,0.291,0.651,1.4e-05,original,0.01,5,0,0,0,0.002858877182006836
logreg,craig,0.594,0.582,0.589,0.59,0.106,0.101,0.094,0.088,1.751,0.137,0.496,0.449,0.511,0.475,0.49,1.1e-05,original,0.01,5,0,0,0,0.002858877182006836
mlp,craig,0.564,0.556,0.575,0.59,0.103,0.104,0.101,0.098,4.726,1.637,0.445,0.247,0.199,0.259,0.369,1.1e-05,original,0.01,5,0,0,0,0.002858877182006836
naive_bayes,craig,0.568,0.54,0.535,0.543,0.099,0.098,0.099,0.098,3.826,0.001,0.513,0.505,0.668,0.703,0.528,1e-06,original,0.01,5,0,0,0,0.002858877182006836
knn,craig,0.584,0.569,0.576,0.581,0.045,0.028,0.02,0.019,10.26,0.001,0.439,0.358,0.386,0.363,0.423,5.7e-05,original,0.01,5,0,0,0,0.002858877182006836
xgb,craig,0.643,0.635,0.643,0.648,0.078,0.081,0.078,0.077,3.002,0.697,0.516,0.376,0.377,0.376,0.517,2e-06,latent,0.01,5,0,0,0,0.002858877182006836
rf,craig,0.574,0.569,0.587,0.6,0.069,0.076,0.073,0.065,7.001,0.404,0.476,0.323,0.308,0.324,0.484,3.7e-05,latent,0.01,5,0,0,0,0.002858877182006836
svc,craig,0.593,0.585,0.596,0.6,0.086,0.085,0.081,0.077,3.401,0.009,0.385,0.334,0.376,0.344,0.364,1.2e-05,latent,0.01,5,0,0,0,0.002858877182006836
logreg,craig,0.599,0.594,0.601,0.6,0.05,0.05,0.049,0.049,3.184,0.13,0.773,0.704,0.756,0.738,0.843,0.0,latent,0.01,5,0,0,0,0.002858877182006836
mlp,craig,0.567,0.565,0.578,0.581,0.096,0.096,0.095,0.092,4.871,0.151,0.416,0.292,0.284,0.292,0.337,1.9e-05,latent,0.01,5,0,0,0,0.002858877182006836
naive_bayes,craig,0.595,0.553,0.546,0.562,0.063,0.058,0.06,0.056,4.126,0.001,0.572,0.577,0.718,0.75,0.474,1e-06,latent,0.01,5,0,0,0,0.002858877182006836
knn,craig,0.588,0.577,0.58,0.581,0.113,0.118,0.119,0.118,3.65,0.001,0.503,0.468,0.543,0.507,0.501,3.3e-05,latent,0.01,5,0,0,0,0.002858877182006836
xgb,random,0.81,0.808,0.808,0.81,0.034,0.035,0.035,0.034,3.139,0.833,0.794,0.732,0.782,0.767,0.876,5e-06,original,0.01,6,,,,
rf,random,0.786,0.784,0.784,0.786,0.06,0.061,0.061,0.06,7.48,0.152,0.76,0.693,0.746,0.727,0.866,5e-06,original,0.01,6,,,,
svc,random,0.829,0.828,0.828,0.829,0.018,0.018,0.018,0.018,5.128,0.022,0.785,0.719,0.77,0.753,0.874,1.8e-05,original,0.01,6,,,,
logreg,random,0.843,0.843,0.843,0.843,0.053,0.053,0.053,0.053,3.046,0.007,0.797,0.744,0.795,0.782,0.882,1e-05,original,0.01,6,,,,
mlp,random,0.829,0.828,0.828,0.829,0.049,0.048,0.048,0.049,6.101,13.65,0.799,0.746,0.797,0.784,0.883,1.3e-05,original,0.01,6,,,,
naive_bayes,random,0.6,0.547,0.547,0.6,0.049,0.091,0.091,0.049,3.854,0.001,0.605,0.439,0.438,0.439,0.669,1e-06,original,0.01,6,,,,
knn,random,0.81,0.809,0.809,0.81,0.045,0.045,0.045,0.045,6.837,0.001,0.775,0.704,0.754,0.736,0.85,1.9e-05,original,0.01,6,,,,
xgb,k-means,0.881,0.88,0.88,0.881,0.05,0.05,0.05,0.05,3.372,2.882,0.743,0.708,0.772,0.759,0.834,2.3e-05,original,0.01,6,0,0,0,0.0013363361358642578
rf,k-means,0.876,0.876,0.876,0.876,0.032,0.032,0.032,0.032,8.408,0.647,0.782,0.753,0.811,0.802,0.876,1.8e-05,original,0.01,6,0,0,0,0.0013363361358642578
svc,k-means,0.81,0.809,0.809,0.81,0.03,0.03,0.03,0.03,2.46,0.024,0.797,0.731,0.781,0.765,0.875,2.4e-05,original,0.01,6,0,0,0,0.0013363361358642578
logreg,k-means,0.795,0.795,0.795,0.795,0.049,0.049,0.049,0.049,3.902,0.007,0.802,0.737,0.787,0.771,0.879,8e-06,original,0.01,6,0,0,0,0.0013363361358642578
mlp,k-means,0.767,0.766,0.766,0.767,0.049,0.049,0.049,0.049,6.16,5.812,0.81,0.748,0.797,0.782,0.885,2.5e-05,original,0.01,6,0,0,0,0.0013363361358642578
naive_bayes,k-means,0.757,0.753,0.753,0.757,0.098,0.104,0.104,0.098,5.708,0.001,0.758,0.685,0.737,0.716,0.787,1e-06,original,0.01,6,0,0,0,0.0013363361358642578
knn,k-means,0.786,0.785,0.785,0.786,0.045,0.045,0.045,0.045,5.296,0.001,0.785,0.717,0.768,0.751,0.859,3.2e-05,original,0.01,6,0,0,0,0.0013363361358642578
xgb,k-means,0.986,0.986,0.986,0.986,0.019,0.019,0.019,0.019,4.354,0.036,0.62,0.636,0.757,0.784,0.709,2e-06,latent,0.01,6,0,0,0,0.0013363361358642578
rf,k-means,0.986,0.986,0.986,0.986,0.012,0.012,0.012,0.012,8.867,0.816,0.642,0.66,0.771,0.793,0.83,1.4e-05,latent,0.01,6,0,0,0,0.0013363361358642578
svc,k-means,0.838,0.837,0.837,0.838,0.059,0.06,0.06,0.059,2.988,0.014,0.788,0.747,0.802,0.791,0.882,1.2e-05,latent,0.01,6,0,0,0,0.0013363361358642578
logreg,k-means,0.943,0.942,0.942,0.943,0.032,0.033,0.033,0.032,3.221,0.121,0.681,0.691,0.782,0.789,0.818,0.0,latent,0.01,6,0,0,0,0.0013363361358642578
mlp,k-means,0.752,0.75,0.75,0.752,0.044,0.045,0.045,0.044,6.233,0.275,0.771,0.751,0.812,0.806,0.872,2.6e-05,latent,0.01,6,0,0,0,0.0013363361358642578
naive_bayes,k-means,0.924,0.924,0.924,0.924,0.032,0.032,0.032,0.032,3.926,0.001,0.667,0.669,0.76,0.761,0.811,1e-06,latent,0.01,6,0,0,0,0.0013363361358642578
knn,k-means,0.81,0.809,0.809,0.81,0.034,0.034,0.034,0.034,4.593,0.001,0.8,0.754,0.806,0.794,0.878,2.2e-05,latent,0.01,6,0,0,0,0.0013363361358642578
xgb,k-center,0.633,0.625,0.625,0.633,0.058,0.062,0.062,0.058,3.373,0.225,0.746,0.667,0.718,0.696,0.831,5e-06,original,0.01,6,0,0,0,0.0013167858123779297
rf,k-center,0.633,0.627,0.627,0.633,0.078,0.077,0.077,0.078,13.255,1.017,0.801,0.721,0.768,0.75,0.881,1.8e-05,original,0.01,6,0,0,0,0.0013167858123779297
svc,k-center,0.671,0.666,0.666,0.671,0.076,0.079,0.079,0.076,7.6,0.022,0.74,0.73,0.8,0.796,0.848,8.1e-05,original,0.01,6,0,0,0,0.0013167858123779297
logreg,k-center,0.671,0.667,0.667,0.671,0.07,0.071,0.071,0.07,10.437,0.188,0.723,0.729,0.805,0.807,0.838,7e-06,original,0.01,6,0,0,0,0.0013167858123779297
mlp,k-center,0.571,0.563,0.563,0.571,0.04,0.038,0.038,0.04,5.379,9.872,0.775,0.693,0.741,0.721,0.855,2e-05,original,0.01,6,0,0,0,0.0013167858123779297
naive_bayes,k-center,0.557,0.525,0.525,0.557,0.059,0.073,0.073,0.059,6.483,0.001,0.555,0.336,0.297,0.345,0.796,1e-06,original,0.01,6,0,0,0,0.0013167858123779297
knn,k-center,0.552,0.537,0.537,0.552,0.046,0.045,0.045,0.046,4.684,0.001,0.629,0.637,0.744,0.753,0.719,3.8e-05,original,0.01,6,0,0,0,0.0013167858123779297
xgb,k-center,0.624,0.619,0.619,0.624,0.032,0.032,0.032,0.032,5.153,0.098,0.727,0.664,0.721,0.699,0.804,5e-06,latent,0.01,6,0,0,0,0.0013167858123779297
rf,k-center,0.614,0.609,0.609,0.614,0.051,0.049,0.049,0.051,16.011,0.353,0.768,0.726,0.784,0.771,0.856,7e-06,latent,0.01,6,0,0,0,0.0013167858123779297
svc,k-center,0.652,0.645,0.645,0.652,0.058,0.061,0.061,0.058,3.93,0.02,0.79,0.72,0.769,0.752,0.876,2.3e-05,latent,0.01,6,0,0,0,0.0013167858123779297
logreg,k-center,0.667,0.66,0.66,0.667,0.04,0.039,0.039,0.04,2.415,0.154,0.785,0.71,0.759,0.741,0.87,0.0,latent,0.01,6,0,0,0,0.0013167858123779297
mlp,k-center,0.557,0.549,0.549,0.557,0.042,0.04,0.04,0.042,4.615,0.2,0.766,0.711,0.767,0.751,0.842,1.6e-05,latent,0.01,6,0,0,0,0.0013167858123779297
naive_bayes,k-center,0.643,0.625,0.625,0.643,0.026,0.026,0.026,0.026,3.643,0.001,0.627,0.646,0.766,0.795,0.857,1e-06,latent,0.01,6,0,0,0,0.0013167858123779297
