model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
mlp,k_center,0.35,0.307,0.307,0.35,0.2,0.19,0.19,0.2,7.611,1.629,0.625,0.545,0.595,0.566,0.682,1.5e-05,original,10,6,,,,,0.4106748104095459
naive_bayes,k_center,0.6,0.527,0.527,0.6,0.122,0.179,0.179,0.122,6.641,0.001,0.566,0.445,0.464,0.447,0.566,1e-06,original,10,6,,,,,0.4106748104095459
knn,k_center,0.5,0.42,0.42,0.5,0.158,0.183,0.183,0.158,6.803,0.001,0.567,0.398,0.389,0.398,0.571,2e-06,original,10,6,,,,,0.4106748104095459
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.938,0.031,0.364,0.225,0.197,0.229,0.225,2e-06,original,10,6,,,,,4.107824802398682
rf,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,16.724,0.484,0.227,0.243,0.329,0.279,0.153,1.1e-05,original,10,6,,,,,4.107824802398682
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.545,0.001,0.328,0.174,0.128,0.183,0.147,2e-06,original,10,6,,,,,4.107824802398682
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.11,0.007,0.338,0.173,0.123,0.185,0.15,4e-06,original,10,6,,,,,4.107824802398682
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.352,1.41,0.238,0.204,0.232,0.208,0.141,9e-06,original,10,6,,,,,4.107824802398682
naive_bayes,lc,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.729,0.001,0.297,0.315,0.462,0.431,0.297,1e-06,original,10,6,,,,,4.107824802398682
knn,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,4.261,0.001,0.377,0.193,0.139,0.207,0.204,2.6e-05,original,10,6,,,,,4.107824802398682
xgb,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,6.794,0.038,0.662,0.592,0.649,0.621,0.777,4e-06,original,10,7,,,,,
rf,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,17.172,0.451,0.747,0.703,0.764,0.749,0.839,1.6e-05,original,10,7,,,,,
svc,random,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,6.623,0.002,0.685,0.689,0.776,0.778,0.308,3e-06,original,10,7,,,,,
logreg,random,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,6.065,0.005,0.752,0.684,0.737,0.717,0.829,6e-06,original,10,7,,,,,
mlp,random,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,6.044,1.973,0.747,0.705,0.766,0.752,0.83,1.2e-05,original,10,7,,,,,
naive_bayes,random,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,6.541,0.001,0.695,0.693,0.776,0.775,0.695,1e-06,original,10,7,,,,,
knn,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.284,0.001,0.742,0.667,0.719,0.697,0.813,1.5e-05,original,10,7,,,,,
xgb,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.763,0.026,0.518,0.235,0.152,0.268,0.828,3e-06,original,10,7,,,,,0.49523353576660156
rf,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,14.894,0.325,0.5,0.193,0.092,0.239,0.839,7e-06,original,10,7,,,,,0.49523353576660156
svc,k-means,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,6.604,0.002,0.777,0.723,0.778,0.763,0.859,3e-06,original,10,7,,,,,0.49523353576660156
logreg,k-means,0.7,0.693,0.693,0.7,0.187,0.185,0.185,0.187,6.369,0.006,0.781,0.747,0.804,0.794,0.867,9e-06,original,10,7,,,,,0.49523353576660156
mlp,k-means,0.65,0.64,0.64,0.65,0.122,0.114,0.114,0.122,6.437,0.733,0.808,0.76,0.811,0.799,0.885,1.3e-05,original,10,7,,,,,0.49523353576660156
naive_bayes,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,5.928,0.001,0.752,0.727,0.791,0.783,0.793,1e-06,original,10,7,,,,,0.49523353576660156
knn,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.765,0.001,0.766,0.678,0.725,0.703,0.833,3e-06,original,10,7,,,,,0.49523353576660156
xgb,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,4.508,0.069,0.522,0.249,0.172,0.278,0.726,2e-06,original,10,7,,,,,108.72079396247864
rf,ag,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,16.507,0.4,0.51,0.215,0.124,0.255,0.857,8e-06,original,10,7,,,,,108.72079396247864
svc,ag,0.65,0.58,0.58,0.65,0.2,0.256,0.256,0.2,6.708,0.002,0.772,0.746,0.806,0.798,0.869,2e-06,original,10,7,,,,,108.72079396247864
