model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
knn,k-center,0.7,0.627,0.627,0.7,0.187,0.259,0.259,0.187,7.168,0.001,0.5,0.181,0.08,0.221,0.528,6.2e-05,latent,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.001810312271118164
xgb,ag,0.65,0.613,0.613,0.65,0.2,0.232,0.232,0.2,4.664,0.197,0.59,0.535,0.615,0.58,0.625,7e-06,original,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.0017151832580566406
rf,ag,0.5,0.333,0.333,0.5,0.0,0.0,0.0,0.0,12.362,0.176,0.5,0.181,0.08,0.221,0.5,5e-06,original,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.0017151832580566406
svc,ag,0.5,0.387,0.387,0.5,0.158,0.181,0.181,0.158,5.104,0.002,0.553,0.556,0.719,0.749,0.348,3e-06,original,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.0017151832580566406
logreg,ag,0.6,0.593,0.593,0.6,0.122,0.114,0.114,0.122,7.193,0.035,0.595,0.548,0.634,0.6,0.63,0.0,original,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.0017151832580566406
mlp,ag,0.4,0.353,0.353,0.4,0.255,0.251,0.251,0.255,7.936,0.058,0.623,0.596,0.695,0.674,0.674,2.5e-05,original,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.0017151832580566406
naive_bayes,ag,0.45,0.4,0.4,0.45,0.292,0.292,0.292,0.292,4.305,0.001,0.614,0.523,0.582,0.546,0.616,1e-06,original,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.0017151832580566406
knn,ag,0.55,0.447,0.447,0.55,0.1,0.157,0.157,0.1,5.093,0.001,0.578,0.586,0.749,0.793,0.616,2.2e-05,original,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.0017151832580566406
xgb,ag,0.5,0.4,0.4,0.5,0.0,0.082,0.082,0.0,4.262,0.019,0.585,0.584,0.711,0.709,0.631,6e-06,latent,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.0017151832580566406
rf,ag,0.5,0.333,0.333,0.5,0.0,0.0,0.0,0.0,13.664,0.183,0.5,0.181,0.08,0.221,0.5,5e-06,latent,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.0017151832580566406
svc,ag,0.4,0.28,0.28,0.4,0.122,0.065,0.065,0.122,6.987,0.001,0.628,0.649,0.78,0.807,0.276,6e-06,latent,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.0017151832580566406
logreg,ag,0.5,0.42,0.42,0.5,0.158,0.183,0.183,0.158,7.135,0.007,0.688,0.668,0.759,0.749,0.764,1.2e-05,latent,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.0017151832580566406
mlp,ag,0.3,0.213,0.213,0.3,0.187,0.122,0.122,0.187,8.06,1.012,0.657,0.599,0.677,0.648,0.722,2.2e-05,latent,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.0017151832580566406
naive_bayes,ag,0.25,0.187,0.187,0.25,0.158,0.107,0.107,0.158,4.991,0.001,0.542,0.305,0.263,0.313,0.562,2e-06,latent,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.0017151832580566406
knn,ag,0.55,0.413,0.413,0.55,0.1,0.16,0.16,0.1,6.057,0.001,0.607,0.624,0.768,0.802,0.676,5.3e-05,latent,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.0017151832580566406
xgb,random,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,7.843,0.125,0.564,0.531,0.628,0.596,0.603,7e-06,original,10,6,,,,
rf,random,0.65,0.627,0.627,0.65,0.2,0.213,0.213,0.2,14.367,0.308,0.598,0.515,0.578,0.541,0.62,1.5e-05,original,10,6,,,,
