model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
mlp,ag,0.83,0.83,0.83,0.83,0.014,0.014,0.014,0.014,7.906,78.975,0.79,0.745,0.798,0.786,0.868,1.9e-05,latent,0.05,6,0,0,0,0.001458883285522461
naive_bayes,ag,0.826,0.825,0.825,0.826,0.032,0.032,0.032,0.032,6.007,0.002,0.704,0.713,0.795,0.8,0.851,1e-06,latent,0.05,6,0,0,0,0.001458883285522461
knn,ag,0.781,0.78,0.78,0.781,0.018,0.019,0.019,0.018,8.173,0.001,0.81,0.743,0.791,0.776,0.883,0.000162,latent,0.05,6,0,0,0,0.001458883285522461
xgb,lc,0.989,0.989,0.989,0.989,0.009,0.009,0.009,0.009,7.64,56.499,0.192,0.192,0.244,0.204,0.114,4e-06,original,0.05,6,0,0,0,0.0015916824340820312
rf,lc,0.969,0.969,0.969,0.969,0.014,0.014,0.014,0.014,10.277,1.656,0.212,0.203,0.249,0.213,0.13,4.5e-05,original,0.05,6,0,0,0,0.0015916824340820312
svc,lc,0.997,0.997,0.997,0.997,0.004,0.004,0.004,0.004,9.253,0.18,0.197,0.181,0.217,0.187,0.107,5e-05,original,0.05,6,0,0,0,0.0015916824340820312
logreg,lc,0.994,0.994,0.994,0.994,0.006,0.006,0.006,0.006,8.115,0.466,0.199,0.179,0.211,0.184,0.109,9e-06,original,0.05,6,0,0,0,0.0015916824340820312
mlp,lc,0.997,0.997,0.997,0.997,0.002,0.002,0.002,0.002,7.39,87.308,0.2,0.186,0.225,0.193,0.111,1.9e-05,original,0.05,6,0,0,0,0.0015916824340820312
naive_bayes,lc,0.76,0.748,0.748,0.76,0.041,0.047,0.047,0.041,3.245,0.002,0.28,0.299,0.42,0.376,0.164,1e-06,original,0.05,6,0,0,0,0.0015916824340820312
knn,lc,0.976,0.976,0.976,0.976,0.004,0.004,0.004,0.004,8.196,0.001,0.22,0.201,0.239,0.208,0.184,5.3e-05,original,0.05,6,0,0,0,0.0015916824340820312
xgb,lc,0.989,0.989,0.989,0.989,0.011,0.011,0.011,0.011,5.604,42.222,0.206,0.194,0.236,0.202,0.123,6e-06,latent,0.05,6,0,0,0,0.0015916824340820312
rf,lc,0.976,0.976,0.976,0.976,0.014,0.014,0.014,0.014,15.7,2.249,0.203,0.192,0.234,0.2,0.132,5.4e-05,latent,0.05,6,0,0,0,0.0015916824340820312
svc,lc,0.998,0.998,0.998,0.998,0.004,0.004,0.004,0.004,7.374,0.169,0.19,0.184,0.227,0.192,0.102,1.6e-05,latent,0.05,6,0,0,0,0.0015916824340820312
logreg,lc,0.996,0.996,0.996,0.996,0.005,0.005,0.005,0.005,6.112,0.966,0.196,0.186,0.227,0.193,0.104,0.0,latent,0.05,6,0,0,0,0.0015916824340820312
mlp,lc,0.998,0.998,0.998,0.998,0.004,0.004,0.004,0.004,14.058,1.565,0.196,0.185,0.225,0.192,0.107,2.1e-05,latent,0.05,6,0,0,0,0.0015916824340820312
naive_bayes,lc,0.918,0.918,0.918,0.918,0.012,0.012,0.012,0.012,2.877,0.001,0.218,0.197,0.233,0.203,0.151,1e-06,latent,0.05,6,0,0,0,0.0015916824340820312
knn,lc,0.972,0.972,0.972,0.972,0.015,0.015,0.015,0.015,5.458,0.001,0.215,0.199,0.238,0.206,0.17,7e-05,latent,0.05,6,0,0,0,0.0015916824340820312
xgb,craig,0.624,0.623,0.623,0.625,0.012,0.013,0.012,0.011,5.085,98.872,0.679,0.646,0.72,0.702,0.748,5e-06,original,0.05,6,0,0,0,0.0028867721557617188
rf,craig,0.592,0.59,0.59,0.592,0.045,0.045,0.045,0.046,9.853,0.879,0.576,0.51,0.566,0.534,0.644,3.5e-05,original,0.05,6,0,0,0,0.0028867721557617188
