model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
naive_bayes,ag,0.75,0.713,0.713,0.75,0.224,0.266,0.266,0.224,6.576,0.001,0.597,0.608,0.747,0.789,0.653,2e-06,latent,10,5,1869.726514339447,0,5.377313363220422e-07,0.0015082359313964844,118.25525116920471
knn,ag,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,6.026,0.001,0.788,0.748,0.803,0.792,0.85,4.4e-05,latent,10,5,1869.726514339447,0,5.377313363220422e-07,0.0015082359313964844,118.25525116920471
xgb,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.621,0.033,0.25,0.238,0.291,0.251,0.174,4e-06,original,10,5,1869.726514339447,0,5.377313363220422e-07,0.0017039775848388672,11.20261549949646
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15.619,0.27,0.233,0.248,0.334,0.284,0.153,6e-06,original,10,5,1869.726514339447,0,5.377313363220422e-07,0.0017039775848388672,11.20261549949646
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.918,0.001,0.366,0.189,0.136,0.201,0.834,2e-06,original,10,5,1869.726514339447,0,5.377313363220422e-07,0.0017039775848388672,11.20261549949646
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.379,0.005,0.289,0.195,0.183,0.196,0.15,7e-06,original,10,5,1869.726514339447,0,5.377313363220422e-07,0.0017039775848388672,11.20261549949646
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.971,0.651,0.219,0.234,0.316,0.267,0.137,1.9e-05,original,10,5,1869.726514339447,0,5.377313363220422e-07,0.0017039775848388672,11.20261549949646
naive_bayes,lc,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.653,0.001,0.289,0.308,0.455,0.422,0.236,1e-06,original,10,5,1869.726514339447,0,5.377313363220422e-07,0.0017039775848388672,11.20261549949646
knn,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.566,0.001,0.234,0.247,0.33,0.28,0.168,7e-06,original,10,5,1869.726514339447,0,5.377313363220422e-07,0.0017039775848388672,11.20261549949646
xgb,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,4.207,0.024,0.315,0.321,0.419,0.373,0.212,4e-06,latent,10,5,1869.726514339447,0,5.377313363220422e-07,0.0017039775848388672,11.20261549949646
rf,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,14.247,0.263,0.242,0.236,0.295,0.253,0.157,6e-06,latent,10,5,1869.726514339447,0,5.377313363220422e-07,0.0017039775848388672,11.20261549949646
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.819,0.002,0.25,0.178,0.175,0.178,0.126,3e-06,latent,10,5,1869.726514339447,0,5.377313363220422e-07,0.0017039775848388672,11.20261549949646
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.041,0.007,0.259,0.181,0.175,0.181,0.128,6e-06,latent,10,5,1869.726514339447,0,5.377313363220422e-07,0.0017039775848388672,11.20261549949646
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.287,0.029,0.269,0.224,0.248,0.227,0.162,1.7e-05,latent,10,5,1869.726514339447,0,5.377313363220422e-07,0.0017039775848388672,11.20261549949646
naive_bayes,lc,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,7.23,0.001,0.265,0.214,0.231,0.215,0.204,1e-06,latent,10,5,1869.726514339447,0,5.377313363220422e-07,0.0017039775848388672,11.20261549949646
knn,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.266,0.001,0.236,0.21,0.245,0.216,0.162,1.6e-05,latent,10,5,1869.726514339447,0,5.377313363220422e-07,0.0017039775848388672,11.20261549949646
xgb,random,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,6.623,0.016,0.691,0.705,0.793,0.801,0.844,6e-06,original,10,6,,,,,
rf,random,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,17.753,0.451,0.759,0.698,0.753,0.734,0.85,9e-06,original,10,6,,,,,
svc,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,7.032,0.001,0.76,0.724,0.785,0.774,0.847,3e-06,original,10,6,,,,,
logreg,random,0.85,0.847,0.847,0.85,0.2,0.202,0.202,0.2,5.128,0.065,0.747,0.704,0.765,0.751,0.822,8e-06,original,10,6,,,,,
mlp,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,7.476,1.678,0.755,0.721,0.783,0.772,0.839,1.1e-05,original,10,6,,,,,
naive_bayes,random,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,6.894,0.001,0.672,0.666,0.753,0.75,0.739,2e-06,original,10,6,,,,,
knn,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,4.39,0.0,0.756,0.72,0.781,0.769,0.827,2.7e-05,original,10,6,,,,,
xgb,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,5.848,0.027,0.658,0.662,0.757,0.76,0.793,4e-06,original,10,6,2222.7451827526093,0,5.396785181110055e-07,0.001463174819946289,0.20093035697937012
